Movie_ID,Title,Overview,Overview_WordCount,Genres,Director,Cast,Production_Company,Release_Date,Release_Year,Release_Month,Release_DayOfWeek,Runtime_Minutes,Budget_Local_Currency,Revenue_Local_Currency,Budget_Crores,Revenue_Crores,Profit_Local_Currency,ROI_Percent,Popularity_Score,Vote_Average,Vote_Count
1118232,Saba Nayagan,"This coming-of-age drama follows Saba, the happy-go-lucky protagonist, through the years leading up to his adulthood and highlighting events of friendship and romance along the way.",26,"Romance, Comedy",C.S. Karthikeyan,"Ashok Selvan, Karthika Muraleedharan, Megha Akash, Chandini Chowdary, Akshaya Hariharan",Clear Water Films INC.,22-12-2023,2023,12,Friday,155,0,0,0,0,0,0,1.2272,6.667,9
884038,The Boy,Aswath's thirteenth birthday is the occasion. The celebrating family is confounded by Aswath's lack of enthusiasm towards the various gifts he receives. It turns out that Aswath has been harboring a surprising sentiment.,33,Family,Arunkumar Senthil,"Vinodhini Vaidyanathan, Delhi Ganesh, Hitesh S. Bharathwaaj, Umarsharif, Rajeswari",Trip to The Moon Productions,27-07-2018,2018,7,Friday,10,0,0,0,0,0,0,1.1128,1,2
883735,Filter Gold,"Viji, Dora and Shanthi are transgenders, and Viji and Dora live together. When Viji’s best friend Shanthi is murdered, she decides to take revenge. At the same time, Dora falls in love with Aasari’s son. Now, Viji has feels the responsibility to protect Dora from Aasari.",46,"Thriller, Crime",Vijayabaskar,"Vijayabaskar, Dora Sree, Sugumar Shanmugam, Vettri",Survival Pictures,29-10-2021,2021,10,Friday,118,0,0,0,0,0,0,0.8987,0,0
505971,Thadam,The murder of a youngster creates confusion among a few cops when they find out that the one accused in the crime has a look-alike!,25,"Crime, Mystery, Thriller",Magizh Thirumeni,"Arun Vijay, Vidhya Pradeep, Tanya Hope, Smruthi Venkat, Fefsi Vijayan",Redhan The Cinema People,01-03-2019,2019,3,Friday,138,0,0,0,0,0,0,0.8327,7.076,46
1544547,Madharas Mafia Company,"A gangster has powerfull political influence who controls chennai City for more than 25 years with not having single f.i.r filed against Him. Being targeted by a suo-motto case. To nab him, government Appoints a lady i.p.s officer thigazh bharathi in an undercover Operation. In the meantime his subordinates, business partners & rival Gangs also trying to kill him. How i.p.s officer thigazh bharathi Achieved her mission completed and defeated poongavanam’s regine Is the remaining story.",76,"Action, Drama",A. S. Mukundan,"Anandaraj, Samyuktha Karthik, Deepa Shankar, Munishkanth, Raams",Anna Productions [in],14-11-2025,2025,11,Friday,0,0,0,0,0,0,0,0.7233,0,0
1628578,Yogida,"It is story about a Honest and straightforward lady police Inspector Yogi works in Coimbatore, where she proves a textile mill owner’s “suicide” is actually a murder by his own son, leading to her transfer to the punishment area Vyasarpadi in North Chennai. There she confronts ruthless don Shekar Babu, who controls the area and its police through fear, power, and political influence, but Yogi refuses to bow down and begins taking action against his network.",76,"Thriller, Action",Goutham Krishna,"Sai Dhanshika, Kabir Duhan Singh, Sayaji Shinde, Manobala, Pujita Ponnada",Sri Monica Cine Films,06-02-2026,2026,2,Friday,119,0,0,0,0,0,0,0.982,0,0
858067,Thiruchitrambalam,A guy-next-door tries to find romance in his life while also dealing with his personal problems. How long will it be before he realises what he is looking for is right next to him?,34,"Romance, Drama, Comedy",Mithran Jawahar,"Dhanush, Nithya Menen, Bharathiraja, Prakash Raj, Raashii Khanna",Sun Pictures,18-08-2022,2022,8,Thursday,133,0,0,0,0,0,0,1.1025,7.394,66
869140,Thalaivar Thambi Thalaimaiyil,"A village official attending a wedding becomes entangled in an escalating family dispute over power and old resentments, testing his leadership as he tries to contain the situation.",28,"Comedy, Drama",Nithish Sahadev,"Jiiva, Prathana Nathan, Ilavarasu, Thambi Ramaiah, Jenson Dhivakar",Kannan Ravi Groups,15-01-2026,2026,1,Thursday,113,0,0,0,0,0,0,0.9587,6.2,6
1123042,Address,"Address is an upcoming Indian Tamil-language action drama film written and directed by Rajamohan. The film features Esakki Barath in the lead role alongside Atharvaa in an extended cameo appearance. The film also features Pooja Jhaveri, Dhiya, Thambi Ramaiah, Devadarshini, A.",41,"Drama, Action",Rajmohan,"Esakki Bharath, Atharvaa Murali, Diya Mayurikha, Thambi Ramaiah, Devadarshini",Cocktail Cinemas,07-03-2025,2025,3,Friday,0,0,0,0,0,0,0,0.744,0,0
1046580,Parole,"A mother's demise brings two egoistic and arrogant brothers together, transforming their lives for the better.",16,"Action, Drama",Dwarakh Raja,"Linga, R. S. Karthik, Monisha Murali, Kalpika Ganesh, Janaki Suresh",TRIPR Entertainment,11-11-2022,2022,11,Friday,140,0,0,0,0,0,0,1.0374,7,1
