movie_id,title,imdb_id,overview,genres,director,cast,language,year,rating,votes,runtime_minutes,poster,backdrop,trailer,popularity,budget_crores,revenue_crores,production_company,release_date,source
,4 Sorry,,An Anthology Drama film with 4 different situations with 4 different plots which involves emotion and feelings.,Drama,Sakthivel,"Sakshi Agarwal, Riythvika, Kaali Venkat, Karthik Ashokan, R. N. R. Manohar",Tamil,0,,,,,,,,,,,,dataset_3_tamil
892207,4 Sorry,,An Anthology Drama film with 4 different situations with 4 different plots which involves emotion and feelings.,Drama,S. Sakthivel,"Sakshi Agarwal, Riythvika, Kaali Venkat, Karthik Ashokan, R. N. R. Manohar",,2021,7.0,2.0,122.0,,,,0.9005,0.0,0.0,Unknown,29-10-2021,dataset_4
,4554,,"Karthi ,a cab owner cum driver, takes up 4 dubai return friends for a trip and gets screwed up in a situation by one of his clients becomes victim of an accident on the previous day of his marriage with his long term love maha .","Drama, Thriller",Karnan Mariyappan,"Ashok Kumar Balakrishnan, Sheela Naik",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1162786,4554,,"Karthi ,a cab owner cum driver, takes up 4 dubai return friends for a trip and gets screwed up in a situation by one of his clients becomes victim of an accident on the previous day of his marriage with his long term love Maha .","Drama, Thriller",Karnan Mariyappan,"Ashok Kumar Balakrishnan, Sheela Naik",,2022,5.0,1.0,119.0,,,,0.9134,0.0,0.0,Unknown,04-11-2022,dataset_4
,465,,"A doctor whose colleagues a lady doctor (who fell in love with him) and another male doctor got murdered under mysterious circumstances, is happy to get back his ancestral house. But since an image of a woman keeps recurring in his mind, he's branded as mentally unfit and those around him decide to admit him in a hospital. What happened to the doctor in the end? Who's that woman he keeps getting images of?",Horror,Sai Sathyam,"Karthik Raj, Niranjana, Pavani Reddy, Manobala, Udhayabanu Mageswaran",Tamil,0,,,,,,,,,,,,dataset_3_tamil
486352,465,,"A doctor whose colleagues a lady doctor (who fell in love with him) and another male doctor got murdered under mysterious circumstances, is happy to get back his ancestral house. But since an image of a woman keeps recurring in his mind, he's branded as mentally unfit and those around him decide to admit him in a hospital. What happened to the doctor in the end? Who's that woman he keeps getting images of?",Horror,Sai Sathyam,"Karthik Raj, Niranjana, Pavani Reddy, Manobala, Udhayabanu Mageswaran",,2017,5.0,1.0,106.0,,,,1.1106,0.0,0.0,LPS Films,24-03-2017,dataset_4
,49-O,,"Karikalan a selfish politician, in collusion with a real estate agent, usurps the lands of farmers in a village. Savuri decides to expose the politician and get the lands back to the villagers in a novel manner.","Drama, Comedy",P. Arokiyadoss,"Goundamani, Bala Singh, Guru Somasundaram, Rajendran, Thirumurugan",Tamil,0,,,,,,,,,,,,dataset_3_tamil
272678,49-O,,"Karikalan a selfish politician, in collusion with a real estate agent, usurps the lands of farmers in a village. Savuri decides to expose the politician and get the lands back to the villagers in a novel manner.","Drama, Comedy",P. Arokiyadoss,"Goundamani, Bala Singh, Guru Somasundaram, Rajendran, Thirumurugan",,2015,5.5,6.0,128.0,,,,1.4116,0.0,0.0,Zero Rules Entertainment,17-09-2015,dataset_4
,50/50,,Aalukku Paathi 50/50 is an upcoming Tamil horror comedy film directed by Krishna Sai.,Drama,Sai Krishna,"Sethu, Balasaravanan, Sonu Gowda, John Vijay, Yogi Babu",Tamil,0,,,,,,,,,,,,dataset_3_tamil
493102,50/50,,Aalukku Paathi 50/50 is an upcoming Tamil horror comedy film directed by Krishna Sai.,,Sai Krishna,"Sethu, Balasaravanan, Sonu Gowda, John Vijay, Yogi Babu",,2019,6.3,3.0,114.0,,,,1.8472,0.0,0.0,Lipi Cine Crafts,27-12-2019,dataset_4
